SIGNATURE	FLOW
cibersort.B.cells.memory	B.CELL.rWBC
cibersort.B.cells.naive	B.CELL.rWBC
cibersort.Dendritic.cells.activated	NA
cibersort.Dendritic.cells.resting	DC.rWBC
cibersort.Eosinophils	EOSINOPHIL.rWBC
cibersort.Macrophages.M0	NA
cibersort.Macrophages.M1	NA
cibersort.Macrophages.M2	NA
cibersort.Mast.cells.activated	NA
cibersort.Mast.cells.resting	BASOPHIL.rWBC
cibersort.Monocytes	MONOCYTE.rWBC
cibersort.Neutrophils	NEUTROPHIL.rWBC
cibersort.NK.cells.activated	NA
cibersort.NK.cells.resting	NK.rWBC
cibersort.Plasma.cells	PLASMABLAST.rWBC
cibersort.T.cells.CD4.memory.activated	NA
cibersort.T.cells.CD4.memory.resting	MEMORY.CD4.rWBC
cibersort.T.cells.CD4.naive	NAIVE.CD4.rWBC
cibersort.T.cells.CD8	CD8.T.rWBC
cibersort.T.cells.follicular.helper	NA
cibersort.T.cells.gamma.delta	GAMMA.DELTA.T.rWBC
cibersort.T.cells.regulatory..Tregs.	TREG.rWBC
xcell.aDC	NA
xcell.B.cells	B.CELL.rWBC
xcell.Basophils	BASOPHIL.rWBC
xcell.CD4.memory.T.cells	MEMORY.CD4.rWBC
xcell.CD4.naive.T.cells	NAIVE.CD4.rWBC
xcell.CD4.T.cells	CD4.T.rWBC
xcell.CD4.Tcm	MEMORY.CD4.rWBC
xcell.CD4.Tem	MEMORY.CD4.rWBC
xcell.CD8.naive.T.cells	NAIVE.CD8.rWBC
xcell.CD8.T.cells	CD8.T.rWBC
xcell.CD8.Tcm	MEMORY.CD8.rWBC
xcell.CD8.Tem	CD45RA.MEMORY.CD8.rWBC
xcell.cDC	MDC.rWBC
xcell.Class.switched.memory.B.cells	B.CELL.rWBC
xcell.CLP	NA
xcell.CMP	NA
xcell.DC	DC.rWBC
xcell.Eosinophils	EOSINOPHIL.rWBC
xcell.Erythrocytes	NA
xcell.GMP	NA
xcell.HSC	NA
xcell.iDC	NA
xcell.Macrophages	NA
xcell.Macrophages.M1	NA
xcell.Macrophages.M2	NA
xcell.Mast.cells	NA
xcell.Megakaryocytes	NA
xcell.Memory.B.cells	B.CELL.rWBC
xcell.MEP	NA
xcell.Monocytes	MONOCYTE.rWBC
xcell.MPP	NA
xcell.MSC	NA
xcell.naive.B.cells	B.CELL.rWBC
xcell.Neutrophils	NEUTROPHIL.rWBC
xcell.NK.cells	NK.rWBC
xcell.NKT	NKT.rWBC
xcell.pDC	PDC.rWBC
xcell.Plasma.cells	PLASMABLAST.rWBC
xcell.Platelets	NA
xcell.pro.B.cells	NA
xcell.Tgd.cells	GAMMA.DELTA.T.rWBC
xcell.Th1.cells	NA
xcell.Th2.cells	NA
xcell.Tregs	TREG.rWBC
